R0119 | Fetch | Sign up, link card or click through before shopping, scan receipts, earn cash back on planned purchases | Cashback/Shopping
R0355 | Microsoft Rewards (Bing) | Search on Bing daily, browse with Edge, earn points | Media/Music
R0365 | Campus Book Rentals | Search for textbook rentals, rent for semester, return | Student Program
R0366 | BookFinder (Textbook Buyback) | Search ISBN, compare buyback prices, ship textbook, receive payment | Student Program
R0367 | Chegg Textbook Buyback | Enter ISBN, get quote, ship free, receive payment | Student Program
R0368 | ValoreBooks Buyback | Enter ISBN, get quote, ship free, receive payment | Student Program
R0369 | Amazon Textbook Trade-in | Search ISBN, get quote, ship free, receive Amazon gift card | Student Program
R0370 | StudentUniverse | Verify student status, book travel through portal, earn cashback | Student Program
R0371 | UNiDAYS | Verify student status, access brand discounts, save on purchases | Student Program
R0372 | SheerID Student Verification | Verify student status, access exclusive brand offers | Student Program
R0373 | GitHub Student Developer Pack | Verify student status, access free developer tools and cloud credits | Student Program
R0374 | Amazon Prime Student | Verify student status, get 6 months free Prime | Student Program
R0375 | Spotify Premium Student | Verify student status through SheerID, get discounted rate | Student Program
R0376 | Adobe Creative Cloud Student | Verify student status, get discounted Creative Cloud | Student Program
R0377 | Notion Free for Students | Sign up with .edu email, get free Notion Pro | Student Program
R0378 | Figma Education | Verify student status, get free Figma Professional | Student Program
R0379 | Coursera Plus Student | Verify student status, get discounted subscription | Student Program
R0446 | Google Opinion Rewards | Answer short surveys, earn Google Play credit | Other Online
R0117 | TopCashback | Sign up, link card or click through before shopping, scan receipts, earn cash back on planned purchases | Cashback/Shopping
R0120 | Upside | Sign up, link card or click through before shopping, scan receipts, earn cash back on planned purchases | Cashback/Shopping
R0121 | Rakuten In-Store | Sign up, link card or click through before shopping, scan receipts, earn cash back on planned purchases | Cashback/Shopping
R0122 | Dosh | Sign up, link card or click through before shopping, scan receipts, earn cash back on planned purchases | Cashback/Shopping
R0123 | Drop | Sign up, link card or click through before shopping, scan receipts, earn cash back on planned purchases | Cashback/Shopping
R0124 | Bumped | Sign up, link card or click through before shopping, scan receipts, earn cash back on planned purchases | Cashback/Shopping
